,Username,Tweet,Date,Number of Retweets,Number of Likes,Number of Followers
63,MuseumModernArt,"Can humans collaborate with other species to create a more sustainable future?

Neri Oxman and @medialab sought to answer this question with Silk Pavilion II, featuring 17,000 silkworms!  

Explore 💻 +🐛collaborations in our #MoMAVirtualViews: https://t.co/diaWzPuD8e https://t.co/M89zF9HhtD",2020-05-15 21:47:26,39,183,5357233
64,MuseumModernArt,"“In my early work I tried to hide my personality, my psychological state, my emotions, but eventually it seemed like a losing battle. Finally one must simply drop the reserve.” —Jasper Johns

Happy 90th birthday #JasperJohns! https://t.co/VrLyjSiyN8 https://t.co/jMiGg6ugDx",2020-05-15 16:10:04,55,201,5357233
65,MuseumModernArt,"No, you're not watching a paint tube being squeezed—that’s molten glass oozing from the world’s first Glass 3D Printer, developed by Neri Oxman and @mitmedialab! Explore more designs for the future: https://t.co/diaWzPMewO https://t.co/5N0Y5wY5qL",2020-05-14 23:17:11,94,340,5357233
66,MuseumModernArt,"Tonight at 8 p.m. EDT, join Paola Antonelli (@curiousoctopus) and Neri Oxman for a live discussion about the exhibition, her work, and the power of design.

A special thank you to @Allianz, MoMA's partner for design and innovation, for making this exhibition possible. https://t.co/7rz74qNsH8",2020-05-14 18:29:37,6,31,5357233
67,MuseumModernArt,"“Nature does it best. It designs best. It builds best, it destroys best.”

Neri Oxman envisions collaborations between humans and nature to create a more sustainable future of design. Curator Paola Antonelli kicks off #MoMAVirtualViews: https://t.co/diaWzPMewO https://t.co/EifAKvUa75",2020-05-14 18:29:36,30,81,5357233
68,MuseumModernArt,"Anicka Yi shares her recipe for lemon pasta with parmesan, peas, and fresh herbs as part of our ongoing series ""Cooking with Artists"" with chef Mina Stone and @MoMAPS1: https://t.co/rDCBKbWk86 https://t.co/oNX1ygQWfd",2020-05-13 21:25:04,29,154,5357233
69,MuseumModernArt,The Greatest Films You’ve Never Seen 🎞️ 📽️ 👀 @josh13siegel and @momafilm created a comprehensive streaming list to indulge any cinephile’s needs: https://t.co/7PrL16cuvE https://t.co/EJhkBMysxi,2020-05-13 18:19:02,32,63,5357233
70,MuseumModernArt,"“For Zarina, home was not defined as the faraway place of her childhood but wherever she had decided to settle. Home was a present-tense verb.” Staff members pay tribute to the late artist, who died on Apr 25. Read more on #MoMAMagazine: https://t.co/dqM0GUBD6K https://t.co/rWIeKXM95L",2020-05-12 21:43:04,51,229,5357233
71,MuseumModernArt,"It's never been more important to come together in support of our creative communities. We’ve compiled a brief list of grants, counsel, and care resources for artists during this crisis: https://t.co/VbIHX4WcjW https://t.co/eIvGqgd4MR",2020-05-12 20:04:02,34,128,5357233
72,MuseumModernArt,"Neri Oxman’s work celebrates a new age in which biology, architecture, engineering, and design join forces to build the future. Our #MoMAVirtualViews starts May 14 with a live Q&amp;A with Oxman and curator Paola Antonelli, plus explore audio, video, and more: https://t.co/nYQmNiMdPu https://t.co/EVSvpAhrOi",2020-05-11 21:25:29,54,152,5357233
